RegionID;AreaID;Area;Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
20;1;Carlow Kilkenny South Tipperary;2018;235;234;233;248;240;239;239;240;238;236;236;228
19;2;Cavan Monaghan;2018;131;130;128;129;129;127;130;131;132;132;129;131
20;3;Cork;2018;518;520;518;511;520;520;524;525;525;525;521;515
21;4;Donegal;2018;155;162;163;167;168;172;171;171;169;169;169;171
19;5;Dublin North;2018;207;203;206;204;207;201;199;193;191;194;197;196
19;6;Dublin City North;2018;325;325;322;318;316;315;310;308;307;309;310;306
18;7;Dublin South Central;2018;237;237;230;230;227;226;226;226;226;225;225;226
18;8;Dublin South East Wicklow;2018;181;180;179;177;179;180;178;177;179;177;176;177
18;9;Dublin South West Kildare West Wicklow;2018;227;218;215;214;216;219;218;213;208;207;202;197
21;10;Galway Roscommon;2018;317;318;323;320;320;320;318;317;316;315;312;309
20;11;Kerry;2018;91;90;86;89;88;91;92;92;90;91;92;94
19;12;Louth Meath;2018;285;289;290;291;299;302;306;297;304;301;302;302
21;13;Mayo;2018;89;85;88;87;86;85;80;80;80;79;81;80
21;14;The Midwest8;2018;397;393;399;397;400;407;414;403;394;388;390;388
18;15;The Midlands;2018;272;269;273;274;274;268;265;262;266;269;263;262
21;16;Sligo Leitrim West Cavan;2018;77;74;76;76;79;79;79;77;78;77;77;77
20;17;Waterford Wexford;2018;287;291;296;299;297;293;294;291;291;298;298;298
22;22;Social Work Team for Separated Children Seeking Asylum (SWTSCSA);2018;20;19;11;9;10;13;10;14;11;11;10;10
